2026-01-03 12:01:04 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 12:01:04 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 12:01:05 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 12:01:05 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 12:02:13 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 12:02:13 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 12:02:14 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 12:02:14 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 12:02:14 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 12:02:14 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 12:06:08 | ERROR    | trading_bot | Order Execution Failed: name 'OrderStatus' is not defined
2026-01-03 12:06:09 | ERROR    | trading_bot | Order Execution Failed: name 'OrderStatus' is not defined
2026-01-03 12:06:09 | ERROR    | trading_bot | Order Execution Failed: name 'OrderStatus' is not defined
2026-01-03 12:08:00 | ERROR    | trading_bot | Order Execution Failed: BotMonitor.log_trade() takes 2 positional arguments but 6 were given
